"","Coefficient","zip"
"936",0.13334,3782
"937",0.13334,3784
"938",0.04023,3785
"939",0.39197,3801
"940",0.39197,3809
"941",0.39197,3810
"942",0.20808,3811
"943",0.04023,3812
"944",0.39197,3813
"945",0.39197,3814
"946",0.39197,3816
"947",0.39197,3817
"948",0.39197,3818
"949",0.20808,3819
"950",0.39197,3820
"951",0.39197,3823
"952",0.39197,3824
"953",0.39197,3825
"954",0.20808,3826
"955",0.20808,3827
"956",0.39197,3830
"957",0.39197,3832
"958",0.20808,3833
"959",0.39197,3835
"960",0.39197,3836
"961",0.39197,3837
"962",0.04023,3838
"963",0.39197,3839
"964",0.39197,3840
"965",0.20808,3841
"966",0.20808,3842
"967",0.20808,3844
"968",0.39197,3845
"969",0.04023,3846
"970",0.39197,3847
"971",0.20808,3848
"972",0.39197,3849
"973",0.39197,3850
"974",0.39197,3851
"975",0.39197,3852
"976",0.39197,3853
"977",0.39197,3854
"978",0.39197,3855
"979",0.39197,3856
"980",0.39197,3857
"981",0.20808,3858
"982",0.39197,3860
"983",0.39197,3861
"984",0.20808,3862
"985",0.39197,3864
"986",0.20808,3865
"987",0.39197,3867
"988",0.39197,3868
"989",0.39197,3869
"990",0.39197,3870
"991",0.20808,3871
"992",0.39197,3872
"993",0.20808,3873
"994",0.20808,3874
"995",0.39197,3875
"996",0.39197,3878
"997",0.39197,3882
"998",0.39197,3883
"999",0.39197,3884
"1000",0.39197,3885
"1001",0.39197,3886
"1002",0.39197,3887
"1003",0.39197,3890
"1004",0.39197,3894
"1005",0.39197,3901
"1006",0.39197,3902
"1007",0.39197,3903
"1008",0.39197,3904
"1009",0.39197,3905
"1010",0.39197,3906
"1011",0.39197,3907
"1012",0.39197,3908
"1013",0.39197,3909
"1014",0.39197,3910
"1015",0.39197,3911
"1016",0.39197,4001
"1017",0.39197,4002
"1018",0.07606,4003
"1019",0.39197,4005
"1020",0.39197,4006
"1021",0.07606,4008
"1022",0.39197,4009
"1023",0.39197,4010
"1024",0.07606,4011
"1025",0.07606,4015
"1026",0.07606,4017
"1027",0.07606,4019
"1028",0.39197,4020
"1029",0.07606,4021
"1030",0.39197,4022
"1031",0.39197,4024
"1032",0.39197,4027
"1033",0.39197,4029
"1034",0.39197,4030
"1035",0.07606,4032
"1036",0.39197,4037
"1037",0.39197,4038
"1038",0.07606,4039
"1039",0.39197,4040
"1040",0.39197,4041
"1041",0.39197,4042
"1042",0.39197,4043
"1043",0.39197,4046
"1044",0.39197,4047
"1045",0.39197,4048
"1046",0.39197,4049
"1047",0.07606,4050
"1048",0.39197,4051
"1049",0.39197,4055
"1050",0.39197,4056
"1051",0.07606,4057
"1052",0.39197,4061
"1053",0.07606,4062
"1054",0.39197,4063
"1055",0.39197,4064
"1056",0.07606,4066
"1057",0.39197,4068
"1058",0.07606,4069
"1059",0.07606,4071
"1060",0.39197,4072
"1061",0.39197,4073
"1062",0.39197,4074
"1063",0.39197,4076
"1064",0.07606,4079
"1065",0.39197,4083
"1066",0.39197,4084
"1067",0.39197,4085
"1068",0.07606,4086
"1069",0.39197,4087
"1070",0.07606,4088
"1071",0.39197,4090
"1072",0.39197,4091
"1073",0.39197,4092
"1074",0.39197,4093
